,train_acc,test_acc
0,0.885844749,0.636363636
1,0.89261745,0.5
2,0.876681614,1
3,0.881818182,0.888888889
4,0.897674419,0.736842105
5,0.889400922,0.733333333
6,0.880898876,0.5
7,0.902272727,0.555555556
8,0.892018779,0.739130435
9,0.893518519,0.705882353
10,0.885583524,0.666666667
11,0.887871854,0.75
12,0.894613583,0.454545455
13,0.900921659,0.866666667
14,0.885714286,0.655172414
15,0.895216401,0.9
16,0.884526559,0.6875
17,0.911832947,0.666666667
18,0.885321101,0.538461538
19,0.877030162,0.555555556
20,0.897435897,0.65
21,0.876744186,0.526315789
22,0.88372093,0.684210526
23,0.89953271,0.80952381
24,0.892018779,0.652173913
25,0.888111888,0.85
26,0.880733945,0.461538462
27,0.878220141,0.5
28,0.889400922,0.8
,,
median,0.888111888,0.666666667
mean,0.889217162,0.67831013
